# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
306 306 0  3484
      177        42 -0.06570909528430604607
      177        45 -0.26049948432496111694
      177        46 -0.13204846184822779942
      177        53 -0.33399347126852257928
      177        54 0.13122314038999124963
      177        59 -0.14310095038404463397
      177        60 -0.0068718269556191742195
      178         9 -0.14394800162669388333
      178        10 -0.35098420719625061936
      178        11 0.067231792015385524741
      178        12 0.11902432376848569306
      178        13 0.063048194746311209125
      178        14 -0.22593643022113898966
      178        21 -0.030176183574297535395
      178        22 -0.14298548594271850987
      178        23 0.077001213132728549282
      178        24 0.54389785408639901298
      178        25 0.0032876853771313190554
      178        26 -0.16274433130350979271
      178        33 0.010316124619174381338
      178        34 0.56505079920823664263
      178        39 0.026645419008429104685
      178        40 -0.11291390581297017226
      178        41 -0.065709095284316468288
      178        42 0.44755558869573869307
      178        45 -0.13204846184822413568
      178        46 -0.33775760247925745716
      178        53 0.13122314038998797447
      178        54 -0.2565213167895904478
      178        59 -0.0068718269556160317679
      178        60 -0.070147605237476276518
      179         5 -0.036620563306127486281
      179         6 -0.011838619160830487695
      179         7 -0.32542431212324263168
      179         8 -0.099512038511249831241
      179         9 -0.41751966051090377841
      179        10 0.10146516893697443695
      179        11 -0.1621580183955277088
      179        12 0.060994774169786471207
      179        21 0.4634995712680947122
      179        22 -0.19208070519451053704
      179        23 -0.010222702250758611969
      179        24 0.011928694089069352691
      179        33 1.3631335815665679423
      179        34 0.053570946763511553823
      179        35 -0.094415265364913097956
      179        36 0.0080565833138281188475
      179        39 0.070720958890212459735
      179        40 0.26862392585162064851
      179        41 -0.25071195281384794917
      179        42 -0.10833580586265899315
      179        51 -0.0024037917201706988576
      179        52 0.00065784333624791283771
      179        53 -0.48859760919218248043
      179        54 -0.1155750373756180005
      179        57 -0.093855177744647438898
      179        58 0.022044269643829394328
      180         5 -0.011838619160830177179
      180         6 -0.056905387849849588255
      180         7 -0.0995120385112395478
      180         8 -0.21959943591481403957
      180         9 0.1014651689369895915
      180        10 -0.0097493423519928457122
      180        11 0.06099477416977666655
      180        12 -0.19822233808814218592
      180        21 -0.19208070519452782876
      180        22 0.23870113914800333843
      180        23 0.011928694089070646794
      180        24 -0.15540698219083481924
      180        33 0.053570946763498383802
      180        34 1.0981887320824439414
      180        35 0.0080565833138270693398
      180        36 -0.21151092366618134966
      180        39 0.26862392585162475633
      180        40 0.048986433837452797446
      180        41 -0.1083358058626521514
      180        42 -0.35897269420210436985
      180        51 0.00065784333624815374744
      180        52 -0.0041461756866960196993
      180        53 -0.11557503737561233836
      180        54 -0.093439271727387682165
      180        57 0.022044269643826587546
      180        58 -0.062498695087339822818
      181         5 -0.035974099297237133177
      181         6 -0.0013172445558660436996
      181        19 -0.095739165777030024729
      181        20 -0.028988965040989866234
      181        21 -0.2641752907085933022
      181        22 0.07691603233225358105
      181        35 -0.13267844688201849146
      181        36 -0.054159033947103002449
      181        37 -0.0076712682928649260708
      181        38 -0.094647806999440947662
      181        39 0.29416414805345020289
      181        40 0.052339666787080317556
      181        51 1.1842250271221208546
      181        52 0.071242674555218404864
      181        53 -0.0067871182010579419672
      181        54 -0.00025907973519535219256
      181        55 -0.29395006785435429109
      181        56 0.11407478053470411494
      181        57 -0.41030543119864354429
      181        58 -0.14334454697853274419
      181        69 -0.21933819404343221637
      181        70 0.0081435230478714860231
      182         5 -0.0013172445558661837785
      182         6 -0.018131870310803998442
      182        19 -0.02898896504098757293
      182        20 -0.071821047746746344287
      182        21 0.076916032332246642156
      182        22 -0.19889924218496435326
      182        35 -0.054159033947093052075
      182        36 0.33375778569267583462
      182        37 -0.094647806999454214827
